iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0009247_3_4_21_53	3.4.21.53: Endopeptidase La	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	1.88628	624.974695	260.708554206612	274.59967	340.70999	168.015707	726			
EUPATH_0009247_3_4_21_61	3.4.21.61: Kexin	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.146418	0.640998	0.315347	0.256739	0.277378	0.255202	5	["0.146418","0.255202","0.256739","0.277378","0.640998"]		
EUPATH_0009247_3_4_21_92	3.4.21.92: Endopeptidase Clp	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	14.0275	923.810173	335.383126374831	344.64467	411.606057	233.015916	739			
EUPATH_0009247_3_4_23_24	3.4.23.24: Candidapepsin	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.08431	48.85947	6.134614	1.8283925	3.7056365	0.79991	12			
EUPATH_0009247_3_4_24_55	3.4.24.55: Pitrilysin	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.114711	247.02089	21.1378250122449	12.33039	30.295584	3.632641	490			
EUPATH_0009247_3_4_25_1	3.4.25.1: Proteasome endopeptidase complex	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.08428	708.13371	172.346394470149	112.89155	247.59823	2.630771	134			
EUPATH_0009247_3_5_1_103	3.5.1.103: deacetylase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.074569	70.574915	15.2923793544776	7.471902	25.4448235	1.603095	268			
EUPATH_0009247_3_5_1_104	3.5.1.104: Peptidoglycan-N-acetylglucosamine deacetylase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.070426	111.623	25.1761687708333	19.91036	39.943228	4.027236	192			
EUPATH_0009247_3_5_1_108	3.5.1.108: UDP-3-O-acyl-N-acetylglucosamine deacetylase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.16248	325.742293	132.641753079867	128.59832	176.896054	85.855817	601			
EUPATH_0009247_3_5_1_16	3.5.1.16: Acetylornithine deacetylase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.165038	396.050947	25.8230520884808	17.137003	31.938698	7.924356	599			
EUPATH_0009247_3_5_1_18	3.5.1.18: Succinyl-diaminopimelate desuccinylase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.236124	552.445355	163.211644077037	150.2072	237.58008	68.040072	675			
EUPATH_0009247_3_5_1_23	3.5.1.23: Ceramidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.09421	128.924	8.85417927651515	3.87318	11.1702	1.281255	264			
EUPATH_0009247_3_5_1_44	3.5.1.44: Protein-glutamine glutaminase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.114672	128.106703	10.3864992538976	7.247484	13.27841	2.85227	449			
EUPATH_0009247_3_5_1_47	3.5.1.47: N-acetyldiaminopimelate deacetylase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.077273	443.68893	78.3507365791191	43.263867	122.641	9.252987	613			
EUPATH_0009247_3_5_1_77	3.5.1.77: N-carbamoyl-D-amino-acid hydrolase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.179556	217.98011	36.5743082623239	19.291609	39.878063	10.898654	568			
EUPATH_0009247_3_5_1_96	3.5.1.96: Succinylglutamate desuccinylase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.071323	59.84823	2.66701003571429	0.222192	0.529028	0.120257	28			
EUPATH_0009247_3_5_3_23	3.5.3.23: N-succinylarginine dihydrolase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.068832	132.31798	4.715397775	0.310144	1.3634745	0.148386	40			
EUPATH_0009247_3_5_3_8	3.5.3.8: Formimidoylglutamase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.098747	299.051	36.5533225134168	29.85456	47.5006615	10.029655	559			
EUPATH_0009247_3_5_4_11	3.5.4.11: Pterin deaminase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.046633	29.9119	2.03834014150943	0.394973	1.63937	0.199708	318			
EUPATH_0009247_3_5_4_13	3.5.4.13: dCTP deaminase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.048124	273.292	56.8305756003717	48.371258	83.66616	17.237161	538			
EUPATH_0009247_3_5_4_25	3.5.4.25: GTP cyclohydrolase II	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	4.41594	875.208	171.226050104022	156.956798	204.075888	127.581566	721			
EUPATH_0009247_3_5_4_3	3.5.4.3: Guanine deaminase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.191946	845.072	37.604951243007	15.117182	32.10041	6.8620785	572			
EUPATH_0009247_3_6_1_1	3.6.1.1: Inorganic diphosphatase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	2.748075	596.21212	231.793198392663	266.5373975	303.644277	156.7124495	736			
EUPATH_0009247_3_6_1_17	3.6.1.17: Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.141785	645.07	31.440518754717	16.086219	31.070646	4.806028	583			
EUPATH_0009247_3_6_1_66	3.6.1.66: XTP/dITP diphosphatase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	15.42477	654.971	258.439430368349	263.945511	315.772951	187.345881	733			
EUPATH_0009247_3_6_1_8	3.6.1.8: ATP diphosphatase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.068739	140.795	7.85356917167382	1.895959	5.945243	0.673304	466			
EUPATH_0009247_3_6_3_2	3.6.3.2: Magnesium-importing ATPase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.385504	1341.8591	100.654967972756	30.441236	54.250769	18.9473275	624			
EUPATH_0009247_3_6_3_28	3.6.3.28: Phosphonate-transporting ATPase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.100222	716.6887	50.7408960527157	38.541724	65.218893	19.441286	626			
EUPATH_0009247_3_6_3_31	3.6.3.31: Polyamine-transporting ATPase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.731237	704.2043	218.001772831206	180.493154	290.9028	129.577403	705			
EUPATH_0009247_3_6_3_32	3.6.3.32: Quaternary-amine-transporting ATPase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.069773	292.12891	65.7678535379427	46.411381	85.15721	17.90758	593			
EUPATH_0009247_3_6_3_54	3.6.3.54: Cu(+) exporting ATPase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.104143	98.43047	21.2124042349398	14.014546	31.145579	7.363933	166			
EUPATH_0009247_3_6_4_6	3.6.4.6: Vesicle-fusing ATPase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.06819	83.5929	4.69964289617486	1.70958	5.034235	0.8045475	183			
EUPATH_0009247_3_7_1_9	3.7.1.9: 2-hydroxymuconate-6-semialdehyde hydrolase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.077885	22.5719	4.59483665178571	2.973845	6.91218	0.725547	112			
EUPATH_0009247_3_8_1_2	3.8.1.2: (S)-2-haloacid dehalogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.037595	70.927	13.5202430910714	10.8442	20.0347275	4.26249	560			
EUPATH_0009247_4_1_1_11	4.1.1.11: Aspartate 1-decarboxylase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.225736	642.754568	104.378583865559	112.6046995	143.076916	60.8842	662			
EUPATH_0009247_4_1_1_12	4.1.1.12: Aspartate 4-decarboxylase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.132005	53.0507	11.3309242933333	8.9007085	16.47024	3.85144	150			
EUPATH_0009247_4_1_1_18	4.1.1.18: Lysine decarboxylase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.068237	524.717194	4.48842025745257	1.734318	3.09558	0.7896	369			
EUPATH_0009247_4_1_1_2	4.1.1.2: Oxalate decarboxylase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.048041	10.964681	2.46030876190476	1.578909	3.5880595	0.748043	147			
EUPATH_0009247_4_1_1_4	4.1.1.4: Acetoacetate decarboxylase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.050664	1.63967	0.38742766666667	0.193763	0.446291	0.14333	33			
EUPATH_0009247_4_1_1_48	4.1.1.48: Indole-3-glycerol-phosphate synthase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.314351	492.18881	199.513158183704	204.715164	262.214513	116.0673805	675			
EUPATH_0009247_4_1_1_5	4.1.1.5: Acetolactate decarboxylase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.07289	339.65192	88.8122889371534	74.700025	124.962689	41.136304	541			
EUPATH_0009247_4_1_1_64	4.1.1.64: 2,2-dialkylglycine decarboxylase (pyruvate)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.071921	35.793	1.2960626557377	0.534166	1.28528	0.250564	122			
EUPATH_0009247_4_1_1_65	4.1.1.65: Phosphatidylserine decarboxylase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.339187	436.871	132.990466554439	130.11309	165.97047	92.386462	597			
EUPATH_0009247_4_1_1_73	4.1.1.73: Tartrate decarboxylase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.078824	54.6765	7.141145125	0.278183	0.6800475	0.228688	8	["0.078824","0.198205","0.259171","0.270674","0.285692","0.302565","1.057530","54.676500"]		
EUPATH_0009247_4_1_1_98	4.1.1.98: 4-hydroxy-3-polyprenylbenzoate decarboxylase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.073041	147.774533	18.9179361878049	11.541367	26.021444	3.585138	410			
EUPATH_0009247_4_1_2_42	4.1.2.42: D-threonine aldolase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.11039	17.9571	3.19228981578947	1.996895	4.08372	0.800949	114			
EUPATH_0009247_4_1_2_57	4.1.2.57: Sulfofructosephosphate aldolase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.052649	78.743	3.82397582608696	0.191489	0.57435	0.0984	23			
EUPATH_0009247_4_1_3_24	4.1.3.24: Malyl-CoA lyase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.186538	0.363991	0.2752645	0.2752645	0.363991	0.186538	2	["0.186538","0.363991"]		
EUPATH_0009247_4_1_3_27	4.1.3.27: Anthranilate synthase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.260868	858.339018	283.462635989346	260.2709	417.789491	68.745624	657			
EUPATH_0009247_4_1_99_3	4.1.99.3: Deoxyribodipyrimidine photo-lyase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.055855	144.07351	8.38787956666667	1.293335	3.60373	0.4616505	300			
EUPATH_0009247_4_2_1_11	4.2.1.11: Phosphopyruvate hydratase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	27.65673	1052.248	303.609823796726	311.830051	351.907311	222.087529	733			
EUPATH_0009247_4_2_1_12	4.2.1.12: Phosphogluconate dehydratase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.071317	141.600494	15.17530417506	8.763445	18.849647	2.77392	417			
EUPATH_0009247_4_2_1_130	4.2.1.130: D-lactate dehydratase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.074594	94.60068	11.1487346417112	3.58152	15.131707	0.913315	187			
EUPATH_0009247_4_2_1_2	4.2.1.2: Fumarate hydratase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	8.92798	493.431	218.095950893297	220.746	294.999812	145.84037	731			
EUPATH_0009247_4_2_1_30	4.2.1.30: Glycerol dehydratase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.066395	113.64186	24.7016229220532	21.11205	41.087101	1.837508	526			
EUPATH_0009247_4_2_1_36	4.2.1.36: Homoaconitate hydratase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.070847	43.15432	2.96775697979798	0.317836	1.642397	0.154117	99			
EUPATH_0009247_4_2_1_41	4.2.1.41: 5-dehydro-4-deoxyglucarate dehydratase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	1.29793	7.83447	5.51704	7.41872	7.626595	4.358325	3	["1.297930","7.418720","7.834470"]		
EUPATH_0009247_4_2_1_43	4.2.1.43: 2-dehydro-3-deoxy-L-arabinonate dehydratase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.049872	1.71114	0.47539633333333	0.1913185	0.638302	0.070427	6	["0.049872","0.070427","0.096695","0.285942","0.638302","1.711140"]		
EUPATH_0009247_4_2_1_55	4.2.1.55: 3-hydroxybutyryl-CoA dehydratase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.078681	131.721	19.78009038	15.357262	28.780613	6.852708	550			
EUPATH_0009247_4_2_1_84	4.2.1.84: Nitrile hydratase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.11002	22.1532	6.977286	1.910339	15.63743	0.142388	6	["0.110020","0.142388","0.421688","3.398990","15.637430","22.153200"]		
EUPATH_0009247_4_2_1_96	4.2.1.96: 4a-hydroxytetrahydrobiopterin dehydratase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.059285	410.45	75.1883680784314	22.8872	85.35735	2.2079	51			
EUPATH_0009247_4_2_2_17	4.2.2.17: Inulin fructotransferase (DFA-I-forming)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.076997	68.6651	8.29478618421053	4.41511	11.1351	1.24676	152			
EUPATH_0009247_4_2_2_2	4.2.2.2: Pectate lyase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.087376	162.125875	16.6384545473441	5.5008	18.72212	1.558297	433			
EUPATH_0009247_4_2_2_5	4.2.2.5: Chondroitin AC lyase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.073099	150.5025	27.1248994657534	21.36009	39.689906	8.70276	146			
EUPATH_0009247_4_2_2_6	4.2.2.6: Oligogalacturonide lyase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.078998	2.08343	0.41847154545455	0.22503	0.426704	0.140467	11			
EUPATH_0009247_4_2_3_1	4.2.3.1: Threonine synthase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	5.190597	439.24361	216.534759791608	228.9636	285.4576835	136.126365	715			
EUPATH_0009247_4_3_1_28	4.3.1.28: L-lysine cyclodeaminase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.093708	1.85334	0.973524	0.973524	1.85334	0.093708	2	["0.093708","1.853340"]		
EUPATH_0009247_4_3_1_3	4.3.1.3: Histidine ammonia-lyase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.206318	377.4146	76.925977656535	71.6697195	103.643341	39.795342	658			
EUPATH_0009247_4_3_2_3	4.3.2.3: Ureidoglycolate lyase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.098128	215.7672	15.9439727816092	7.471293	22.3735695	2.376853	435			
EUPATH_0009247_4_3_99_3	4.3.99.3: 7-carboxy-7-deazaguanine synthase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.439432	360.897121	120.505898402174	113.700746	146.559477	85.012315	644			
EUPATH_0009247_4_4_1_5	4.4.1.5: Lactoylglutathione lyase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.436291	412.75489	90.0317157235099	76.106733	136.014306	26.518986	604			
EUPATH_0009247_4_6_1_13	4.6.1.13: Phosphatidylinositol diacylglycerol-lyase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.106015	331.243	18.4518067660819	14.50484	23.303105	5.395829	171			
EUPATH_0009247_4_6_1_17	4.6.1.17	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.806389	280.396735	72.1700577140575	70.4197705	109.959429	21.263589	626			
EUPATH_0009247_4_99_1_2	4.99.1.2: Alkylmercury lyase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.342822	8.46594	4.4405155	4.47665	7.203445	1.677586	4	["0.342822","3.012350","5.940950","8.465940"]		
EUPATH_0009247_5_1_1_12	5.1.1.12: Ornithine racemase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.160904	6.58952	0.978017	0.340058	0.665198	0.244826	16			
EUPATH_0009247_5_1_3_11	5.1.3.11: Cellobiose epimerase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.094316	186.057613	33.5567013460621	5.533112	64.4974105	2.0199	419			
EUPATH_0009247_5_1_3_12	5.1.3.12: UDP-glucuronate 5'-epimerase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.05898	73.4474	6.86750032494759	4.52194	9.73582	1.51152	477			
EUPATH_0009247_5_1_3_3	5.1.3.3: Aldose 1-epimerase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.782536	623.185072	238.348393157186	219.795878	338.8778645	147.236594	668			
EUPATH_0009247_5_3_1_28	5.3.1.28: D-sedoheptulose 7-phosphate isomerase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.14411	220.980473	67.7124788156522	61.861404	101.2933695	25.0757685	575			
EUPATH_0009247_5_3_1_30	5.3.1.30: 5-deoxy-glucuronate isomerase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.31957	0.900308	0.609939	0.609939	0.900308	0.31957	2	["0.319570","0.900308"]		
EUPATH_0009247_5_3_1_35	5.3.1.35	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.0697	32.7104	3.67724634782609	0.616532	1.0350345	0.184918	23			
EUPATH_0009247_5_3_1_6	5.3.1.6: Ribose-5-phosphate isomerase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	9.38104	651.774	197.81196465931	207.92165	258.769005	121.641996	725			
EUPATH_0009247_5_3_3_10	5.3.3.10: 5-carboxymethyl-2-hydroxymuconate Delta-isomerase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.055752	28.2548	2.36785941176471	0.270105	1.189112	0.159271	17			
EUPATH_0009247_5_4_2_12	5.4.2.12: Phosphoglycerate mutase (2,3-diphosphoglycerate-independent)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.504653	274.9005	94.0647819086687	73.2127965	166.071506	28.347475	646			
EUPATH_0009247_5_4_2_2	5.4.2.2: Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	1.3561	546.6427	152.98849515767	162.914255	202.470229	67.2632775	704			
EUPATH_0009247_5_4_3_5	5.4.3.5: D-ornithine 4,5-aminomutase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.092959	3.554032	0.99714163855422	0.746178	1.2475025	0.347541	83			
EUPATH_0009247_5_4_99_2	5.4.99.2: Methylmalonyl-CoA mutase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.133739	224.141982	56.1363998157895	49.719143	83.06751	20.198018	570			
EUPATH_0009247_5_4_99_29	5.4.99.29: 23S rRNA pseudouridine(746) synthase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.068276	110.362	10.1071521340206	4.5222245	10.83885	1.7446115	388			
EUPATH_0009247_5_4_99_5	5.4.99.5: Chorismate mutase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.458672	513.863451	126.538533340031	131.60507	197.847422	19.268239	647			
